,r1,r3,r2,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,outputK,r14,r15,r16,InputA,InputI,OutputX,OutputN,id,growth,optimal
14,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r14,9.0,1
15,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r15,9.0,1
16,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,r16,9.0,0
17,0.0,0.1,-0.09999999999999994,-0.19999999999999987,1.2000000000000004,1.0000000000000004,1.0000000000000007,1.0000000000000004,1.0000000000000002,-6.938893903907228e-17,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0,1.0000000000000002,0.0,1.0,3.0000000000000018,1.0,InputA,3.0000000000000018,1
18,1.0,0.1,-0.09999999999999987,-0.19999999999999973,1.1999999999999995,0.9999999999999999,1.0,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999996,0.9999999999999996,1.0,3.3306690738754696e-16,0.0,1.9999999999999996,1.0,0.0,2.9999999999999996,1.0,InputI,2.9999999999999996,1
19,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,OutputX,9.0,0
20,1.0,1.0,0.6666666666666667,1.3333333333333333,1.9999999999999996,3.333333333333333,3.3333333333333335,2.9999999999999996,0.9999999999999999,-0.6666666666666667,0.33333333333333315,-2.220446049250313e-16,-2.220446049250313e-16,1.0,0.33333333333333337,0.3333333333333339,0.9999999999999998,1.0,1.0,10.0,0.0,OutputN,10.0,1
21,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r1",9.0,0
22,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r3",9.0,0
23,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r2",9.0,0
24,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r4",9.0,0
25,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r5",9.0,0
26,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r6",9.0,0
27,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r7",9.0,0
28,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r8",9.0,0
29,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r9",9.0,0
30,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r10",9.0,0
31,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r11",9.0,0
32,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r12",9.0,0
33,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r13",9.0,0
34,1.0,0.1,1.2333333333333334,2.466666666666667,1.2000000000000002,3.666666666666667,3.6666666666666674,4.0,0.9999999999999997,-0.3333333333333335,0.6666666666666662,0.9999999999999996,0.9999999999999996,0.0,-0.33333333333333337,-0.33333333333333215,1.9999999999999996,1.0,1.0,11.000000000000002,1.0,"r1,outputK",11.000000000000002,0
35,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r14",9.0,0
36,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r15",9.0,0
37,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,r16",9.0,0
38,0.0,0.1,-0.09999999999999994,-0.19999999999999987,1.2000000000000004,1.0000000000000004,1.0000000000000007,1.0000000000000004,1.0000000000000002,-6.938893903907228e-17,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0,1.0000000000000002,0.0,1.0,3.0000000000000018,1.0,"r1,InputA",3.0000000000000018,1
39,1.0,0.1,-0.09999999999999987,-0.19999999999999973,1.1999999999999995,0.9999999999999999,1.0,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999996,0.9999999999999996,1.0,3.3306690738754696e-16,0.0,1.9999999999999996,1.0,0.0,2.9999999999999996,1.0,"r1,InputI",2.9999999999999996,0
40,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r1,OutputX",9.0,0
41,1.0,1.0,0.6666666666666667,1.3333333333333333,1.9999999999999996,3.333333333333333,3.3333333333333335,2.9999999999999996,0.9999999999999999,-0.6666666666666667,0.33333333333333315,-2.220446049250313e-16,-2.220446049250313e-16,1.0,0.33333333333333337,0.3333333333333339,0.9999999999999998,1.0,1.0,10.0,0.0,"r1,OutputN",10.0,0
42,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r3",9.0,1
43,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r2",9.0,0
44,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r4",9.0,0
45,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r5",9.0,0
46,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r6",9.0,0
47,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r7",9.0,0
48,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r8",9.0,0
49,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r9",9.0,0
50,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r10",9.0,1
51,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r11",9.0,0
52,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r12",9.0,0
53,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r13",9.0,0
54,1.0,0.0,1.3333333333333333,2.6666666666666665,1.0,3.6666666666666665,3.666666666666667,4.0,1.0,-0.33333333333333326,0.6666666666666667,1.0,1.0,0.0,-0.33333333333333326,-0.33333333333333215,2.0,1.0,1.0,11.0,1.0,"r3,outputK",11.0,0
55,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r14",9.0,1
56,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r15",9.0,1
57,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,r16",9.0,0
58,0.0,0.0,0.0,0.0,1.0000000000000004,1.0000000000000004,1.0000000000000007,1.0000000000000004,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0,1.0000000000000002,0.0,1.0,3.0000000000000018,1.0,"r3,InputA",3.0000000000000018,1
59,1.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.000000000000001,1.0,"r3,InputI",3.000000000000001,1
60,1.0,0.0,1.0,2.0,1.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r3,OutputX",9.0,0
61,1.0,0.0,1.6666666666666665,3.3333333333333335,0.0,3.333333333333333,3.3333333333333335,3.0,1.0000000000000002,-0.6666666666666665,0.3333333333333337,2.220446049250313e-16,2.220446049250313e-16,1.0,0.3333333333333335,0.3333333333333339,1.0000000000000002,1.0,1.0,10.0,0.0,"r3,OutputN",10.0,1
62,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r2",9.0,1
63,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r4",9.0,1
64,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r5",9.0,0
65,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r6",9.0,0
66,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r7",9.0,0
67,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r8",9.0,0
68,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r9",9.0,0
69,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r10",9.0,1
70,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r11",9.0,0
71,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r12",9.0,0
72,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r13",9.0,0
73,1.0,1.3333333333333335,0.0,0.0,3.666666666666667,3.666666666666667,3.6666666666666674,4.0,0.9999999999999997,-0.3333333333333335,0.6666666666666662,0.9999999999999996,0.9999999999999996,0.0,-0.33333333333333337,-0.33333333333333215,1.9999999999999996,1.0,1.0,11.000000000000002,1.0,"r2,outputK",11.000000000000002,0
74,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r14",9.0,1
75,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r15",9.0,1
76,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,r16",9.0,0
77,0.0,6.938893903907228e-17,0.0,0.0,1.0000000000000004,1.0000000000000004,1.0000000000000007,1.0000000000000004,1.0000000000000002,-6.938893903907228e-17,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0,1.0000000000000002,0.0,1.0,3.0000000000000018,1.0,"r2,InputA",3.0000000000000018,0
78,1.0,1.3877787807814457e-16,0.0,0.0,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999996,0.9999999999999996,1.0,3.3306690738754696e-16,0.0,1.9999999999999996,1.0,0.0,2.9999999999999996,1.0,"r2,InputI",2.9999999999999996,0
79,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r2,OutputX",9.0,0
80,1.0,1.6666666666666667,0.0,0.0,3.333333333333333,3.3333333333333335,3.333333333333334,3.0,1.000000000000001,-0.6666666666666667,0.33333333333333437,0.0,0.0,1.0,0.33333333333333437,0.33333333333333215,1.0,1.0,1.0,10.0,0.0,"r2,OutputN",10.0,0
81,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r4",9.0,1
82,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r5",9.0,0
83,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r6",9.0,0
84,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r7",9.0,0
85,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r8",9.0,0
86,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r9",9.0,0
87,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r10",9.0,1
88,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r11",9.0,0
89,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r12",9.0,0
90,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r13",9.0,0
91,1.0,1.3333333333333335,0.0,0.0,3.666666666666667,3.666666666666667,3.6666666666666674,4.0,0.9999999999999997,-0.3333333333333335,0.6666666666666662,0.9999999999999996,0.9999999999999996,0.0,-0.33333333333333337,-0.33333333333333215,1.9999999999999996,1.0,1.0,11.000000000000002,1.0,"r4,outputK",11.000000000000002,0
92,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r14",9.0,1
93,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r15",9.0,1
94,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,r16",9.0,0
95,0.0,6.938893903907228e-17,0.0,0.0,1.0000000000000004,1.0000000000000004,1.0000000000000007,1.0000000000000004,1.0000000000000002,-6.938893903907228e-17,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0,1.0000000000000002,0.0,1.0,3.0000000000000018,1.0,"r4,InputA",3.0000000000000018,0
96,1.0,1.3877787807814457e-16,0.0,0.0,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999996,0.9999999999999996,1.0,3.3306690738754696e-16,0.0,1.9999999999999996,1.0,0.0,2.9999999999999996,1.0,"r4,InputI",2.9999999999999996,0
97,1.0,1.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r4,OutputX",9.0,0
98,1.0,1.6666666666666667,0.0,0.0,3.333333333333333,3.3333333333333335,3.333333333333334,3.0,1.000000000000001,-0.6666666666666667,0.33333333333333437,0.0,0.0,1.0,0.33333333333333437,0.33333333333333215,1.0,1.0,1.0,10.0,0.0,"r4,OutputN",10.0,0
99,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r5",9.0,0
100,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r6",9.0,0
101,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r7",9.0,0
102,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r8",9.0,0
103,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r9",9.0,0
104,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r10",9.0,0
105,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r11",9.0,0
106,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r12",9.0,0
107,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r13",9.0,0
108,1.0,0.1,1.2333333333333334,2.466666666666667,1.2000000000000002,3.666666666666667,3.6666666666666674,4.0,0.9999999999999997,-0.3333333333333335,0.6666666666666662,0.9999999999999996,0.9999999999999996,0.0,-0.33333333333333337,-0.33333333333333215,1.9999999999999996,1.0,1.0,11.000000000000002,1.0,"r5,outputK",11.000000000000002,0
109,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r14",9.0,0
110,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r15",9.0,0
111,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,r16",9.0,0
112,0.0,0.1,-0.09999999999999994,-0.19999999999999987,1.2000000000000004,1.0000000000000004,1.0000000000000007,1.0000000000000004,1.0000000000000002,-6.938893903907228e-17,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0,1.0000000000000002,0.0,1.0,3.0000000000000018,1.0,"r5,InputA",3.0000000000000018,0
113,1.0,0.1,-0.09999999999999987,-0.19999999999999973,1.1999999999999995,0.9999999999999999,1.0,0.9999999999999998,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999996,0.9999999999999996,1.0,3.3306690738754696e-16,0.0,1.9999999999999996,1.0,0.0,2.9999999999999996,1.0,"r5,InputI",2.9999999999999996,0
114,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r5,OutputX",9.0,0
115,1.0,0.1,1.5666666666666667,3.1333333333333333,0.19999999999999973,3.3333333333333335,3.333333333333334,3.0,1.000000000000001,-0.6666666666666667,0.33333333333333437,0.0,0.0,1.0,0.33333333333333437,0.33333333333333215,1.0,1.0,1.0,10.0,0.0,"r5,OutputN",10.0,0
116,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r6,r6",9.0,0
117,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r6,r7",9.0,0
118,1.0,0.1,0.9,1.8,1.2,3.0,3.0000000000000004,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,"r6,r8",9.0,0
